ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,2,06/29/2026,15:55:46:664,2,00/00/0000,00:00:00:000,,38.903706,-77.007056,0.00,0,0.00,,,4,0,0,-75.9,-75.9,,,538,1935.850000,20,15,A,1,1,0,0,823000,-105.03,-105.03,-14.87,-0.7,-103.24,-103.24,-13.96,0.69,192,-0.06,-104.7,-104.7,-15.25,-0.61,-104.25,-104.25,-14.71,-0.22,204394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,2,06/29/2026,15:55:46:671,2,00/00/0000,00:00:00:000,,38.903701,-77.007017,0.00,0,0.00,,,5,0,0,-76.1,-76.1,,,538,1935.850000,20,15,A,1,1,0,0,823000,-105.62,-105.62,-15.27,-1.33,-104.04,-104.04,-14.35,-0.09,192,-0.79,-104.19,-104.19,-14.63,-0.04,-104.56,-104.56,-14.86,-0.54,204394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,15:55:46:671,2,00/00/0000,00:00:00:000,,38.903696,-77.006977,0.00,0,0.00,,,6,0,0,-76.8,-76.8,,,538,1935.850000,20,15,A,1,1,0,0,823000,-106.81,-106.81,-15.96,-2.08,-104.74,-104.74,-14.72,-0.77,160,-1.65,-105.75,-105.75,-15.27,-1.6,-105.68,-105.68,-15.23,-1.64,204394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,15:55:46:672,2,00/00/0000,00:00:00:000,,38.903691,-77.006938,0.00,0,0.00,,,7,0,0,-75.8,-75.8,,,538,1935.850000,20,15,A,1,1,0,0,823000,-105.05,-105.05,-14.8,-0.62,-103.7,-103.7,-14.24,0,96,-0.4,-104.33,-104.33,-15.1,-0.41,-104.32,-104.32,-14.89,-0.4,204394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,15:59:13:316,2,00/00/0000,00:00:00:000,,38.903665,-77.006741,0.00,0,0.00,,,12,0,0,-81.8,-81.8,,,538,1935.850000,20,15,A,1,1,0,0,822840,-109.52,-109.52,-12.52,4.63,-109.99,-109.99,-12.93,3.16,128,4.72,-106.92,-106.92,-12.1,6.78,-108.62,-108.62,-13.16,5.57,364394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,2,06/29/2026,15:59:13:334,2,00/00/0000,00:00:00:000,,38.903628,-77.006533,0.00,0,0.00,,,13,0,0,-81.3,-81.3,,,538,1935.850000,20,15,A,1,1,0,0,822840,-108.45,-108.45,-12.22,5.63,-108.96,-108.96,-12.6,4.1,0,5.75,-106.53,-106.53,-12.17,8.04,-107.88,-107.88,-12.93,6.61,364394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,15:59:13:334,2,00/00/0000,00:00:00:000,,38.903591,-77.006325,0.00,0,0.00,,,14,0,0,-81,-81,,,538,1935.850000,20,15,A,1,1,0,0,822840,-108.27,-108.27,-12.13,5.93,-108.29,-108.29,-12.47,4.42,0,6.01,-106.1,-106.1,-12.05,8.71,-107.46,-107.46,-12.84,6.99,384394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,15:59:13:334,2,00/00/0000,00:00:00:000,,38.903554,-77.006118,0.00,0,0.00,,,15,0,0,-81.3,-81.3,,,538,1935.850000,20,15,A,1,1,0,0,822840,-108.35,-108.35,-12.13,6.16,-108.5,-108.5,-12.37,5.08,0,6.54,-106.02,-106.02,-11.6,8.2,-107.5,-107.5,-12.55,7.21,384394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:00:28:229,2,00/00/0000,00:00:00:000,,38.903517,-77.005910,0.00,0,0.00,,,16,0,0,-70.3,-70.3,,,538,1935.850000,20,15,A,1,1,0,0,822808,-94.95,-94.95,-10.97,17.03,-94.78,-94.78,-10.98,16.65,0,17.73,-95.07,-95.07,-11.12,14.71,-94.93,-94.93,-11,16.55,604394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,2,06/29/2026,16:00:28:235,2,00/00/0000,00:00:00:000,,38.903504,-77.005834,0.00,0,0.00,,,17,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822808,-94.68,-94.68,-10.97,17.28,-94.7,-94.7,-10.99,16.48,0,17.76,-94.71,-94.71,-10.86,16.84,-94.7,-94.7,-10.89,17.44,604394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:00:28:235,2,00/00/0000,00:00:00:000,,38.903490,-77.005757,0.00,0,0.00,,,18,0,0,-70.4,-70.4,,,538,1935.850000,20,15,A,1,1,0,0,822808,-94.96,-94.96,-10.99,16.35,-94.99,-94.99,-11.01,15.58,0,16.91,-95.12,-95.12,-11.01,15.65,-95.02,-95.02,-10.96,16.47,604394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:00:28:235,2,00/00/0000,00:00:00:000,,38.903477,-77.005681,0.00,0,0.00,,,19,0,0,-70.6,-70.6,,,538,1935.850000,20,15,A,1,1,0,0,822808,-95.25,-95.25,-10.98,16.75,-95.12,-95.12,-11.02,15.29,0,16.91,-95.28,-95.28,-11.01,15.47,-95.21,-95.21,-10.97,16.4,604394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:02:11:463,2,00/00/0000,00:00:00:000,,38.903463,-77.005605,0.00,0,0.00,,,20,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822744,-94.51,-94.51,-10.94,17.78,-94.58,-94.58,-10.97,16.79,0,18.16,-95.08,-95.08,-11.07,16.82,-94.71,-94.71,-10.85,17.72,6A4394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,2,06/29/2026,16:02:11:470,2,00/00/0000,00:00:00:000,,38.903450,-77.005528,0.00,0,0.00,,,21,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822744,-94.56,-94.56,-10.94,17.96,-94.59,-94.59,-10.99,16.14,0,17.86,-94.95,-94.95,-11.01,16.4,-94.69,-94.69,-10.86,17.37,6A4394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:02:11:470,2,00/00/0000,00:00:00:000,,38.903436,-77.005452,0.00,0,0.00,,,22,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822744,-94.39,-94.39,-10.84,19.46,-94.54,-94.54,-10.97,16.87,0,18.28,-94.97,-94.97,-11.01,17.62,-94.65,-94.65,-10.84,18.08,6A4394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:02:11:470,2,00/00/0000,00:00:00:000,,38.903423,-77.005376,0.00,0,0.00,,,23,0,0,-70.1,-70.1,,,538,1935.850000,20,15,A,1,1,0,0,822744,-94.31,-94.31,-10.83,19.79,-94.47,-94.47,-10.97,16.7,0,18.35,-94.99,-94.99,-11.06,16.93,-94.61,-94.61,-10.84,17.88,6A4394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:03:40:944,2,00/00/0000,00:00:00:000,,38.903409,-77.005299,0.00,0,0.00,,,24,0,0,-64.6,-64.6,,,538,1935.850000,20,15,A,1,1,0,0,822712,-89.92,-89.92,-11.85,6.21,-89.85,-89.85,-11.75,7.53,0,7.83,-90.45,-90.45,-12.13,6.56,-90.06,-90.06,-11.82,7.42,484394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000,1,11
32409007,C00F,2,06/29/2026,16:03:40:955,2,00/00/0000,00:00:00:000,,38.903407,-77.005317,0.00,0,0.00,,,25,0,0,-64.6,-64.6,,,538,1935.850000,20,15,A,1,1,0,0,822712,-89.96,-89.96,-11.85,6.3,-89.91,-89.91,-11.75,7.49,0,7.86,-90.12,-90.12,-11.9,7.07,-89.99,-89.99,-11.8,7.6,484394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:03:40:955,2,00/00/0000,00:00:00:000,,38.903404,-77.005335,0.00,0,0.00,,,26,0,0,-64.7,-64.7,,,538,1935.850000,20,15,A,1,1,0,0,822712,-90.13,-90.13,-11.93,6.01,-90.07,-90.07,-11.84,7.06,0,7.45,-90.52,-90.52,-12.14,6.19,-90.23,-90.23,-11.91,7.03,484394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:03:40:955,2,00/00/0000,00:00:00:000,,38.903402,-77.005352,0.00,0,0.00,,,27,0,0,-64.5,-64.5,,,538,1935.850000,20,15,A,1,1,0,0,822712,-90.11,-90.11,-11.96,5.88,-90.07,-90.07,-11.88,6.8,0,7.26,-90.28,-90.28,-12.12,6.64,-90.15,-90.15,-11.99,7.06,4A4394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:05:28:860,2,00/00/0000,00:00:00:000,,38.903508,-77.005975,0.00,0,0.00,,,28,0,0,-79.6,-79.6,,,538,1935.850000,20,15,A,2,2,0,0,822648,-108.22,-108.22,-12.23,4.45,-108.25,-108.25,-12.41,4.06,0,5.15,-109.49,-109.49,-12.48,3.82,-108.6,-108.6,-12,4.76,0C4394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,2,11
32409007,C00F,2,06/29/2026,16:05:28:877,2,00/00/0000,00:00:00:000,,38.903506,-77.005984,0.00,0,0.00,,,29,0,0,-82.9,-82.9,,,538,1935.850000,20,15,A,2,2,0,0,822648,-108.2,-108.2,-12.31,4.12,-108.27,-108.27,-12.49,3.82,0,4.87,-110.11,-110.11,-13.12,3.54,-108.75,-108.75,-12.2,4.52,0E4394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:05:28:878,2,00/00/0000,00:00:00:000,,38.903504,-77.005992,0.00,0,0.00,,,30,0,0,-82.7,-82.7,,,538,1935.850000,20,15,A,2,2,0,0,822648,-107.64,-107.64,-12.21,4.69,-107.72,-107.72,-12.25,4.7,0,5.6,-109.25,-109.25,-12.41,4.52,-108.12,-108.12,-11.82,5.3,0E4394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:05:28:878,2,00/00/0000,00:00:00:000,,38.903502,-77.006000,0.00,0,0.00,,,31,0,0,-82.3,-82.3,,,538,1935.850000,20,15,A,2,2,0,0,822648,-107.7,-107.7,-12.34,4.01,-107.61,-107.61,-12.43,4.05,0,4.93,-109.9,-109.9,-13.38,3.19,-108.26,-108.26,-12.21,4.48,0E4394,,,,,,,,,,,,,,,,,,,,2,11
32409007,C00F,2,06/29/2026,16:08:19:697,2,00/00/0000,00:00:00:000,,38.903491,-77.006042,0.00,0,0.00,,,36,0,0,-83.4,-83.4,,,101,1935.850000,20,15,A,1,1,0,0,822600,-110.96,-110.96,-13.48,1.66,-110.52,-110.52,-13.67,1.76,0,2.52,-115.5,-115.5,-18.47,-8.2,-112.42,-112.42,-15.34,2.52,644394,6E88100A098849813FB800530EE405A826234904FEE0014C3B9016000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900828BCE08DC21B8637106FB65F119563C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939222,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000,1,11
32409007,C00F,2,06/29/2026,16:08:19:704,2,00/00/0000,00:00:00:000,,38.903488,-77.006050,0.00,0,0.00,,,37,0,0,-83.1,-83.1,,,101,1935.850000,20,15,A,1,1,0,0,822600,-111.27,-111.27,-13.98,0.74,-110.82,-110.82,-13.88,1.3,0,1.56,-110.54,-110.54,-13.93,0.77,-110.87,-110.87,-14.1,1.27,644394,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,2,06/29/2026,16:08:19:704,2,00/00/0000,00:00:00:000,,38.903486,-77.006058,0.00,0,0.00,,,38,0,0,-82.9,-82.9,,,101,1935.850000,20,15,A,1,1,0,0,822600,-111.07,-111.07,-14.12,0.81,-110.24,-110.24,-13.67,1.86,0,1.78,-113.99,-113.99,-17.6,-7.92,-112.32,-112.32,-15.81,1.78,644394,,,,,,,,,,,,,,,,,,,,1,11
